step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_vertical_-44.500,0,"[1.0, 0.0]","[-50.0, -130.0]","[-50.0, -130.0]","[-50.0, -40.0]","[-10.0, -40.0]","[[-50.0, -130.0], [-50.0, -40.0], [-10.0, -40.0]]",0.0,40.0,60,27,87,[0],"[0, 4, 8, 12]",1,True,0.0,0.0,189.73665942251742,113.74175812169531,step_00_e00_vertical_-44.500.png
1,e00_vertical_-44.500,1,"[0.0, 1.0]","[-10.0, -40.0]","[-10.0, -40.0]","[30.0, -106.09375]","[30.0, -90.0]","[[-10.0, -40.0], [-10.0, -106.09375], [30.0, -106.09375], [30.0, -90.0]]",0.0,16.09375,71,11,169,[1],"[1, 3, 4, 5, 7, 9, 11, 13]",4,False,0.0,0.0,189.73665942251742,103.64439995166265,step_01_e00_vertical_-44.500.png
2,e01_horizontal_76.094,4,"[1.0, 0.0]","[30.0, -90.0]","[30.0, -90.0]","[63.945523648648674, -41.89189189189189]","[91.98198198198199, -41.89189189189189]","[[30.0, -90.0], [63.945523648648674, -90.0], [63.945523648648674, -41.89189189189189], [91.98198198198199, -41.89189189189189]]",0.0,28.03645833333331,55,19,243,[4],"[4, 8, 12]",2,False,0.0,0.0,154.47117015525004,88.68487969001214,step_02_e01_horizontal_76.094.png
3,e13_horizontal_61.656,11,"[0.0, 1.0]","[91.98198198198199, -41.89189189189189]","[91.98198198198199, -41.89189189189189]","[232.1875, -118.34375]","[232.1875, -30.0]","[[91.98198198198199, -41.89189189189189], [91.98198198198199, -118.34375], [232.1875, -118.34375], [232.1875, -30.0]]",0.0,88.34375,145,59,447,[11],"[3, 4, 5, 7, 9, 11, 13]",1,True,0.0,0.0,169.02571999060575,97.66710073025037,step_03_e13_horizontal_61.656.png
4,e14_vertical_275.500,2,"[-1.0, 0.0]","[232.1875, -30.0]","[232.1875, -30.0]","[370.0, -47.21875]","[330.0, -47.21875]","[[232.1875, -30.0], [232.1875, -120.0], [370.0, -120.0], [370.0, -47.21875], [330.0, -47.21875]]",0.0,40.0,201,27,675,[14],"[2, 6, 10, 14]",1,True,0.0,0.0,169.02571999060575,83.16536017604254,step_04_e14_vertical_275.500.png
5,e14_vertical_275.500,2,"[-1.0, 0.0]","[330.0, -47.21875]","[330.0, -47.21875]","[88.93749999999999, -47.21875]","[30.0, -47.21875]","[[330.0, -47.21875], [330.0, -120.0], [88.93749999999999, -120.0], [88.93749999999999, -47.21875], [30.0, -47.21875]]",0.0,58.937499999999986,258,40,973,[2],"[2, 6, 10]",1,True,0.0,0.0,169.02571999060575,84.84401488719556,step_05_e14_vertical_275.500.png
6,e14_vertical_275.500,3,"[0.0, 1.0]","[30.0, -47.21875]","[30.0, -47.21875]","[87.8125, -48.34375]","[87.8125, -30.0]","[[30.0, -47.21875], [87.8125, -47.21875], [87.8125, -48.34375], [87.8125, -30.0]]",0.0,18.34375,40,13,1026,[3],"[3, 4, 5, 7, 9, 11, 13]",3,False,0.0,0.0,169.02571999060575,76.65258106104956,step_06_e14_vertical_275.500.png
7,e14_vertical_275.500,7,"[1.0, 0.0]","[87.8125, -30.0]","[87.8125, -30.0]","[87.8125, -48.34375]","[93.05729166666667, -48.34375]","[[87.8125, -30.0], [87.8125, -48.34375], [93.05729166666667, -48.34375]]",0.0,5.244791666666674,13,4,1043,[4],"[4, 8, 12]",1,True,0.0,0.0,169.02571999060575,85.97631430161564,step_07_e14_vertical_275.500.png
8,e14_vertical_275.500,3,"[0.0, 1.0]","[93.05729166666667, -48.34375]","[93.05729166666667, -48.34375]","[87.8125, -48.34375]","[87.8125, -30.0]","[[93.05729166666667, -48.34375], [87.8125, -48.34375], [87.8125, -30.0]]",0.0,18.34375,4,13,1060,[3],"[3, 4, 5, 7, 9, 11, 13]",3,False,0.0,0.0,169.02571999060575,77.95636158217971,step_08_e14_vertical_275.500.png
9,e14_vertical_275.500,3,"[-1.0, 0.0]","[87.8125, -30.0]","[87.8125, -30.0]","[87.8125, -30.0]","[30.0, -30.0]","[[87.8125, -30.0], [30.0, -30.0]]",0.0,57.8125,0,39,1099,[2],"[2, 6, 10]",2,False,0.0,0.0,169.02571999060575,79.75553041044586,step_09_e14_vertical_275.500.png
10,e14_vertical_275.500,12,"[1.0, 0.0]","[30.0, -30.0]","[30.0, -30.0]","[161.0625, -40.0]","[190.0, -40.0]","[[30.0, -30.0], [30.0, -120.0], [161.0625, -120.0], [161.0625, -40.0], [190.0, -40.0]]",0.0,28.9375,201,20,1320,[8],"[4, 12]",2,False,0.0,0.0,116.61903789690601,72.898970433649,step_10_e14_vertical_275.500.png
