step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_0.000,0,"[1.0, 0.0]","[-50.0, -110.0]","[-50.0, -110.0]","[-25.0, -25.72972972972973]","[-24.87837837837838, -25.72972972972973]","[[-50.0, -110.0], [-25.0, -110.0], [-25.0, -25.72972972972973], [-24.87837837837838, -25.72972972972973]]",0.0,0.12162162162161991,73,1,74,[0],"[0, 4, 8]",0.0,0.0,56.92099788303084,31.382021997933776,step_00_e00_oblique_0.000.png
1,e01_horizontal_42.000,8,"[0.0, 1.0]","[-24.87837837837838, -25.72972972972973]","[-24.87837837837838, -25.72972972972973]","[-3.0, -110.0]","[-3.0, -85.0]","[[-24.87837837837838, -25.72972972972973], [-24.87837837837838, -110.0], [-3.0, -110.0], [-3.0, -85.0]]",0.0,25.0,71,17,162,[1],"[0, 1, 3, 5, 7, 9]",0.0,0.0,56.92099788303084,28.78019253527503,step_01_e01_horizontal_42.000.png
2,e04_vertical_-56.000,8,"[1.0, 0.0]","[-3.0, -85.0]","[-3.0, -85.0]","[-3.0, -85.0]","[55.0, -85.0]","[[-3.0, -85.0], [55.0, -85.0]]",0.0,58.0,0,39,201,[4],"[4, 8]",0.0,0.0,56.92099788303084,27.840415021914183,step_02_e04_vertical_-56.000.png
3,e02_vertical_14.000,8,"[-1.0, 0.0]","[55.0, -85.0]","[55.0, -85.0]","[55.0, -85.0]","[45.0, -85.0]","[[55.0, -85.0], [45.0, -85.0]]",0.0,10.0,0,7,208,[2],"[2, 6, 10]",0.0,0.0,56.92099788303084,27.5333922236087,step_03_e02_vertical_14.000.png
4,e03_horizontal_14.000,8,"[0.0, 1.0]","[45.0, -85.0]","[45.0, -85.0]","[45.0, -85.0]","[45.0, -45.0]","[[45.0, -85.0], [45.0, -45.0]]",0.0,40.0,0,27,235,[3],"[3, 5, 7, 9]",0.0,0.0,56.92099788303084,27.17350840506167,step_04_e03_horizontal_14.000.png
5,e09_horizontal_42.000,6,"[0.0, 1.0]","[45.0, -45.0]","[45.0, -45.0]","[185.0, -110.0]","[185.0, -85.0]","[[45.0, -45.0], [45.0, -110.0], [185.0, -110.0], [185.0, -85.0]]",0.0,25.0,137,17,389,[9],"[5, 7, 9]",0.0,0.0,54.51834553616297,26.749819188673058,step_05_e09_horizontal_42.000.png
6,e06_vertical_70.000,6,"[-1.0, 0.0]","[185.0, -85.0]","[185.0, -85.0]","[185.0, -85.0]","[125.0, -85.0]","[[185.0, -85.0], [125.0, -85.0]]",0.0,60.0,0,40,429,[6],"[6, 10]",0.0,0.0,54.000000000000014,20.531128874149275,step_06_e06_vertical_70.000.png
7,e08_vertical_-112.000,10,"[1.0, 0.0]","[125.0, -85.0]","[125.0, -85.0]","[125.0, -85.0]","[135.0, -85.0]","[[125.0, -85.0], [135.0, -85.0]]",0.0,10.0,0,7,436,[8],[8],0.0,0.0,55.484795214547646,25.409158180836382,step_07_e08_vertical_-112.000.png
8,e07_horizontal_14.000,10,"[0.0, 1.0]","[135.0, -85.0]","[135.0, -85.0]","[135.0, -85.0]","[135.0, -45.0]","[[135.0, -85.0], [135.0, -45.0]]",0.0,40.0,0,27,463,[7],[7],0.0,0.0,55.48479521454779,25.353263005255773,step_08_e07_horizontal_14.000.png
9,e05_horizontal_42.000,5,"[0.0, 1.0]","[135.0, -45.0]","[135.0, -45.0]","[63.0, -110.0]","[63.0, -85.0]","[[135.0, -45.0], [135.0, -110.0], [63.0, -110.0], [63.0, -85.0]]",0.0,25.0,92,17,572,[5],"[5, 9]",0.0,0.0,55.48479521454779,24.80524516916782,step_09_e05_horizontal_42.000.png
