step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_0.000,0,"[1.0, 0.0]","[-50.0, -110.0]","[-50.0, -110.0]","[-25.0, -25.72972972972973]","[-24.87837837837838, -25.72972972972973]","[[-50.0, -110.0], [-25.0, -110.0], [-25.0, -25.72972972972973], [-24.87837837837838, -25.72972972972973]]",0.0,0.12162162162161991,73,1,74,[0],"[0, 4, 8]",0.0,0.0,56.92099788303084,31.382021997933776,step_00_e00_oblique_0.000.png
1,e01_horizontal_42.000,1,"[0.0, 1.0]","[-24.87837837837838, -25.72972972972973]","[-24.87837837837838, -25.72972972972973]","[10.5, -110.0]","[10.5, -85.0]","[[-24.87837837837838, -25.72972972972973], [-24.87837837837838, -110.0], [10.5, -110.0], [10.5, -85.0]]",0.0,25.0,80,17,171,[1],"[1, 3, 5, 7, 9]",0.0,0.0,56.92099788303084,28.78019253527503,step_01_e01_horizontal_42.000.png
2,e04_vertical_-56.000,2,"[1.0, 0.0]","[10.5, -85.0]","[10.5, -85.0]","[10.5, -85.0]","[55.0, -85.0]","[[10.5, -85.0], [55.0, -85.0]]",0.0,44.5,0,30,201,[4],"[4, 8]",0.0,0.0,56.92099788303084,27.840415021914183,step_02_e04_vertical_-56.000.png
3,e06_vertical_70.000,2,"[-1.0, 0.0]","[55.0, -85.0]","[55.0, -85.0]","[129.0, -85.0]","[125.0, -85.0]","[[55.0, -85.0], [129.0, -85.0], [125.0, -85.0]]",0.0,4.0,50,3,254,[6],"[2, 6, 10]",0.0,0.0,56.92099788303084,22.75365401824716,step_03_e06_vertical_70.000.png
4,e08_vertical_-112.000,2,"[1.0, 0.0]","[125.0, -85.0]","[125.0, -85.0]","[125.0, -85.0]","[135.0, -85.0]","[[125.0, -85.0], [135.0, -85.0]]",0.0,10.0,0,7,261,[8],[8],0.0,0.0,56.92099788303084,26.01131873851654,step_04_e08_vertical_-112.000.png
5,e10_vertical_126.000,2,"[-1.0, 0.0]","[135.0, -85.0]","[135.0, -85.0]","[230.0, -85.0]","[205.0, -85.0]","[[135.0, -85.0], [230.0, -85.0], [205.0, -85.0]]",0.0,25.0,64,17,342,[10],"[2, 10]",0.0,0.0,18.0,8.707106781186548,step_05_e10_vertical_126.000.png
6,e11_horizontal_0.000,2,"[0.0, -1.0]","[205.0, -85.0]","[205.0, -85.0]","[129.0, 25.0]","[129.0, 25.0]","[[205.0, -85.0], [205.0, 25.0], [129.0, 25.0]]",0.0,0.0,74,51,467,[11],[11],0.0,0.0,18.0,8.707106781186548,step_06_e11_horizontal_0.000.png
7,e07_horizontal_14.000,7,"[0.0, 1.0]","[129.0, 25.0]","[129.0, 25.0]","[125.1875, -85.0]","[125.1875, -45.0]","[[129.0, 25.0], [205.0, 25.0], [205.0, -85.0], [125.1875, -85.0], [125.1875, -45.0]]",0.0,40.0,178,27,672,[7],"[3, 5, 7]",0.0,0.0,18.0,7.707106781186547,step_07_e07_horizontal_14.000.png
8,e03_horizontal_14.000,3,"[0.0, 1.0]","[125.1875, -45.0]","[125.1875, -45.0]","[45.1875, -85.0]","[45.1875, -45.0]","[[125.1875, -45.0], [125.1875, -110.0], [45.1875, -110.0], [45.1875, -85.0], [45.1875, -45.0]]",0.0,40.0,114,27,813,[3],[3],0.0,0.0,18.0,7.0,step_08_e03_horizontal_14.000.png
9,e02_vertical_14.000,2,"[-1.0, 0.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.0, -45.0]","[[45.1875, -45.0], [45.0, -45.0]]",0.0,0.1875,0,1,814,[2],[2],0.0,0.0,18.0,6.0,step_09_e02_vertical_14.000.png
10,e05_horizontal_42.000,5,"[0.0, 1.0]","[45.0, -45.0]","[45.0, -45.0]","[63.0, -110.0]","[63.0, -85.0]","[[45.0, -45.0], [45.0, -110.0], [63.0, -110.0], [63.0, -85.0]]",0.0,25.0,56,17,887,[5],[5],0.0,0.0,18.0,3.0,step_10_e05_horizontal_42.000.png
11,e09_horizontal_42.000,9,"[0.0, 1.0]","[63.0, -85.0]","[63.0, -85.0]","[135.0, -110.0]","[135.0, -85.0]","[[63.0, -85.0], [63.0, -110.0], [135.0, -110.0], [135.0, -85.0]]",0.0,25.0,65,17,969,[9],[9],0.0,0.0,0.0,0.0,step_11_e09_horizontal_42.000.png
