step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_-12.111,0,"[1.0, 0.0]","[-50.0, -110.0]","[-50.0, -110.0]","[-25.0, -34.72972972972972]","[-23.37837837837838, -34.72972972972972]","[[-50.0, -110.0], [-25.0, -110.0], [-25.0, -34.72972972972972], [-23.37837837837838, -34.72972972972972]]",0.0,1.6216216216216204,67,2,69,[0],"[0, 4, 8]",0.0,0.0,13.703203194062977,7.653520426241227,step_00_e00_oblique_-12.111.png
1,e01_horizontal_55.667,1,"[0.0, 1.0]","[-23.37837837837838, -34.72972972972972]","[-23.37837837837838, -34.72972972972972]","[25.833333333333325, -110.0]","[25.833333333333325, -85.0]","[[-23.37837837837838, -34.72972972972972], [-23.37837837837838, -110.0], [25.833333333333325, -110.0], [25.833333333333325, -85.0]]",0.0,25.0,83,17,169,[1],"[1, 3, 5, 7, 9]",0.0,0.0,13.703203194062977,7.213307400100773,step_01_e01_horizontal_55.667.png
2,e04_vertical_-81.444,2,"[1.0, 0.0]","[25.833333333333325, -85.0]","[25.833333333333325, -85.0]","[25.833333333333325, -85.0]","[55.0, -85.0]","[[25.833333333333325, -85.0], [55.0, -85.0]]",0.0,29.166666666666675,0,20,189,[4],"[4, 8]",0.0,0.0,13.703203194062977,7.143914938128187,step_02_e04_vertical_-81.444.png
3,e08_vertical_-149.889,2,"[1.0, 0.0]","[55.0, -85.0]","[55.0, -85.0]","[55.0, -85.0]","[135.0, -85.0]","[[55.0, -85.0], [135.0, -85.0]]",0.0,80.0,0,54,243,[8],[8],0.0,0.0,13.703203194062977,5.857535938771872,step_03_e08_vertical_-149.889.png
4,e06_vertical_98.556,2,"[-1.0, 0.0]","[135.0, -85.0]","[135.0, -85.0]","[145.11111111111111, -85.0]","[125.0, -85.0]","[[135.0, -85.0], [145.11111111111111, -85.0], [125.0, -85.0]]",0.0,20.111111111111114,7,14,264,[6],"[2, 6, 10]",0.0,0.0,13.703203194062977,5.788143476799288,step_04_e06_vertical_98.556.png
5,e09_horizontal_55.667,2,"[0.0, 1.0]","[125.0, -85.0]","[125.0, -85.0]","[145.11111111111111, -110.0]","[145.11111111111111, -85.0]","[[125.0, -85.0], [125.0, -110.0], [145.11111111111111, -110.0], [145.11111111111111, -85.0]]",0.0,25.0,31,17,312,[9],"[1, 3, 7, 9]",0.0,0.0,13.703203194062977,5.368432099516262,step_05_e09_horizontal_55.667.png
6,e10_vertical_167.000,2,"[-1.0, 0.0]","[145.11111111111111, -85.0]","[145.11111111111111, -85.0]","[230.0, -85.0]","[205.0, -85.0]","[[145.11111111111111, -85.0], [230.0, -85.0], [205.0, -85.0]]",0.0,25.0,57,17,386,[10],"[2, 10]",0.0,0.0,10.213764617139015,3.5042762777887915,step_06_e10_vertical_167.000.png
7,e11_horizontal_-4.333,2,"[0.0, -1.0]","[205.0, -85.0]","[205.0, -85.0]","[145.11111111111111, 25.0]","[145.11111111111111, 25.0]","[[205.0, -85.0], [205.0, 25.0], [145.11111111111111, 25.0]]",0.0,0.0,74,40,500,[11],[11],0.0,0.0,10.213764617139015,2.7770729773541767,step_07_e11_horizontal_-4.333.png
8,e07_horizontal_21.444,7,"[0.0, 1.0]","[145.11111111111111, 25.0]","[145.11111111111111, 25.0]","[125.1875, -85.0]","[125.1875, -45.0]","[[145.11111111111111, 25.0], [205.0, 25.0], [205.0, -85.0], [125.1875, -85.0], [125.1875, -45.0]]",0.0,40.0,167,27,694,[7],"[3, 5, 7]",0.0,0.0,10.213764617139015,2.5363322366134367,step_08_e07_horizontal_21.444.png
9,e03_horizontal_21.444,3,"[0.0, 1.0]","[125.1875, -45.0]","[125.1875, -45.0]","[45.1875, -85.0]","[45.1875, -45.0]","[[125.1875, -45.0], [125.1875, -110.0], [45.1875, -110.0], [45.1875, -85.0], [45.1875, -45.0]]",0.0,40.0,114,27,835,[3],[3],0.0,0.0,10.111111111111107,2.4074074074074074,step_09_e03_horizontal_21.444.png
10,e02_vertical_30.111,2,"[-1.0, 0.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.0, -45.0]","[[45.1875, -45.0], [45.0, -45.0]]",0.0,0.1875,0,1,836,[2],[2],0.0,0.0,4.333333333333329,0.7222222222222228,step_10_e02_vertical_30.111.png
11,e05_horizontal_55.667,5,"[0.0, 1.0]","[45.0, -45.0]","[45.0, -45.0]","[90.0, -110.0]","[90.0, -85.0]","[[45.0, -45.0], [45.0, -110.0], [90.0, -110.0], [90.0, -85.0]]",0.0,25.0,74,17,927,[5],[5],0.0,0.0,1.2434497875801753e-14,1.3363514014041133e-15,step_11_e05_horizontal_55.667.png
