step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_-12.111,4,"[1.0, 0.0]","[-50.0, -110.0]","[-50.0, -110.0]","[-25.0, -45.0625]","[-21.65625, -45.0625]","[[-50.0, -110.0], [-25.0, -110.0], [-25.0, -45.0625], [-21.65625, -45.0625]]",0.0,3.3437500000000004,60,3,63,[0],"[0, 4, 8]",0.0,0.0,13.703203194062977,7.653520426241227,step_00_e00_oblique_-12.111.png
1,e01_horizontal_55.667,8,"[0.0, 1.0]","[-21.65625, -45.0625]","[-21.65625, -45.0625]","[34.888888888888886, -110.0]","[34.888888888888886, -85.0]","[[-21.65625, -45.0625], [-21.65625, -110.0], [34.888888888888886, -110.0], [34.888888888888886, -85.0]]",0.0,25.0,81,17,161,[1],"[1, 3, 5, 7, 9]",0.0,0.0,13.703203194062977,7.2133074001007715,step_01_e01_horizontal_55.667.png
2,e03_horizontal_21.444,3,"[0.0, 1.0]","[34.888888888888886, -85.0]","[34.888888888888886, -85.0]","[45.1875, -85.0]","[45.1875, -45.0]","[[34.888888888888886, -85.0], [45.1875, -85.0], [45.1875, -45.0]]",0.0,40.0,7,27,195,[3],"[3, 5, 7, 9]",0.0,0.0,13.703203194062977,7.154893901349833,step_02_e03_horizontal_21.444.png
3,e02_vertical_30.111,8,"[-1.0, 0.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.1875, -45.0]","[45.0, -45.0]","[[45.1875, -45.0], [45.0, -45.0]]",0.0,0.1875,0,1,196,[2],"[2, 6, 10]",0.0,0.0,13.703203194062977,5.469708716164649,step_03_e02_vertical_30.111.png
4,e04_vertical_-81.444,8,"[1.0, 0.0]","[45.0, -45.0]","[45.0, -45.0]","[45.0, -45.0]","[55.0, -45.0]","[[45.0, -45.0], [55.0, -45.0]]",0.0,10.0,0,7,203,[4],"[4, 8]",0.0,0.0,13.703203194062977,5.329804923736973,step_04_e04_vertical_-81.444.png
5,e05_horizontal_55.667,5,"[0.0, 1.0]","[55.0, -45.0]","[55.0, -45.0]","[90.0, -110.0]","[90.0, -85.0]","[[55.0, -45.0], [55.0, -110.0], [90.0, -110.0], [90.0, -85.0]]",0.0,25.0,67,17,287,[5],"[5, 7, 9]",0.0,0.0,13.703203194062977,4.7084196498278175,step_05_e05_horizontal_55.667.png
6,e07_horizontal_21.444,7,"[0.0, 1.0]","[90.0, -85.0]","[90.0, -85.0]","[125.1875, -85.0]","[125.1875, -45.0]","[[90.0, -85.0], [125.1875, -85.0], [125.1875, -45.0]]",0.0,40.0,24,27,338,[7],"[7, 9]",0.0,0.0,13.703203194062977,4.650006151076879,step_06_e07_horizontal_21.444.png
7,e08_vertical_-149.889,9,"[1.0, 0.0]","[125.1875, -45.0]","[125.1875, -45.0]","[125.1875, -45.0]","[135.0, -45.0]","[[125.1875, -45.0], [135.0, -45.0]]",0.0,9.8125,0,7,345,[8],[8],0.0,0.0,13.703203194062977,3.251811240185852,step_07_e08_vertical_-149.889.png
8,e09_horizontal_55.667,9,"[0.0, 1.0]","[135.0, -45.0]","[135.0, -45.0]","[158.44444444444446, -110.0]","[158.44444444444446, -85.0]","[[135.0, -45.0], [135.0, -110.0], [158.44444444444446, -110.0], [158.44444444444446, -85.0]]",0.0,25.0,59,17,421,[9],"[5, 9]",0.0,0.0,13.703203194062977,2.8320998629028264,step_08_e09_horizontal_55.667.png
9,e06_vertical_98.556,6,"[-1.0, 0.0]","[158.44444444444446, -85.0]","[158.44444444444446, -85.0]","[205.0, -85.0]","[125.0, -85.0]","[[158.44444444444446, -85.0], [205.0, -85.0], [125.0, -85.0]]",0.0,80.0,32,54,507,[6],"[6, 10]",0.0,0.0,13.703203194062977,2.591359122162086,step_09_e06_vertical_98.556.png
