step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_-12.111,4,"[1.0, 0.0]","[-50.0, -110.0]","[-50.0, -110.0]","[-13.555555555555557, -38.55555555555556]","[0.5925925925925952, -38.55555555555556]","[[-50.0, -110.0], [-13.555555555555557, -110.0], [-13.555555555555557, -38.55555555555556], [0.5925925925925952, -38.55555555555556]]",0.0,14.148148148148152,72,10,82,[0],"[0, 4, 8]",1,True,0.0,0.0,13.703203194062977,7.65352042624123,step_00_e00_oblique_-12.111.png
1,e04_vertical_-81.444,8,"[1.0, 0.0]","[0.5925925925925952, -38.55555555555556]","[0.5925925925925952, -38.55555555555556]","[54.888888888888886, -38.55555555555556]","[75.0, -38.55555555555556]","[[0.5925925925925952, -38.55555555555556], [0.5925925925925952, -105.0], [54.888888888888886, -105.0], [54.888888888888886, -38.55555555555556], [75.0, -38.55555555555556]]",0.0,20.111111111111114,125,14,221,[4],"[4, 8]",1,True,0.0,0.0,13.703203194062977,7.584127964268646,step_01_e04_vertical_-81.444.png
2,e04_vertical_-81.444,0,"[-1.0, 0.0]","[75.0, -38.55555555555556]","[75.0, -38.55555555555556]","[75.0, -38.55555555555556]","[25.0, -38.55555555555556]","[[75.0, -38.55555555555556], [25.0, -38.55555555555556]]",0.0,50.0,0,34,255,[2],"[2, 6, 10]",1,True,0.0,0.0,13.703203194062977,6.297748964912331,step_02_e04_vertical_-81.444.png
3,e06_vertical_98.556,2,"[-1.0, 0.0]","[25.0, -38.55555555555556]","[25.0, -38.55555555555556]","[115.0, -38.55555555555556]","[105.0, -38.55555555555556]","[[25.0, -38.55555555555556], [25.0, -105.0], [115.0, -105.0], [115.0, -38.55555555555556], [105.0, -38.55555555555556]]",0.0,10.0,149,7,411,[6],"[6, 10]",1,True,0.0,0.0,13.703203194062977,6.228356502939746,step_03_e06_vertical_98.556.png
4,e08_vertical_-149.889,6,"[1.0, 0.0]","[105.0, -38.55555555555556]","[105.0, -38.55555555555556]","[105.0, -38.55555555555556]","[155.0, -38.55555555555556]","[[105.0, -38.55555555555556], [155.0, -38.55555555555556]]",0.0,50.0,0,34,445,[8],[8],1,True,0.0,0.0,13.703203194062977,4.9419775035834315,step_04_e08_vertical_-149.889.png
5,e10_vertical_167.000,6,"[-1.0, 0.0]","[155.0, -38.55555555555556]","[155.0, -38.55555555555556]","[195.0, -38.55555555555556]","[185.0, -38.55555555555556]","[[155.0, -38.55555555555556], [155.0, -105.0], [195.0, -105.0], [195.0, -38.55555555555556], [185.0, -38.55555555555556]]",0.0,10.0,116,7,568,[10],[10],1,True,0.0,0.0,4.393106271882051,3.3803325267951574,step_05_e10_vertical_167.000.png
6,e11_horizontal_-4.333,2,"[0.0, -1.0]","[185.0, -38.55555555555556]","[185.0, -38.55555555555556]","[115.0, 45.0]","[115.0, 5.0]","[[185.0, -38.55555555555556], [185.0, 45.0], [115.0, 45.0], [115.0, 5.0]]",0.0,40.0,103,27,698,[11],[11],1,True,0.0,0.0,4.39310627188205,2.6531292263605417,step_06_e11_horizontal_-4.333.png
7,e11_horizontal_-4.333,7,"[0.0, 1.0]","[115.0, 5.0]","[115.0, 5.0]","[124.22222222222223, -105.0]","[124.22222222222223, -25.0]","[[115.0, 5.0], [225.0, 5.0], [225.0, -105.0], [124.22222222222223, -105.0], [124.22222222222223, -25.0]]",0.0,80.0,214,54,966,[7],[7],1,True,0.0,0.0,4.39310627188205,2.4123884856198012,step_07_e11_horizontal_-4.333.png
8,e11_horizontal_-4.333,9,"[0.0, 1.0]","[124.22222222222223, -25.0]","[124.22222222222223, -25.0]","[158.44444444444446, -105.0]","[158.44444444444446, -65.0]","[[124.22222222222223, -25.0], [124.22222222222223, -105.0], [158.44444444444446, -105.0], [158.44444444444446, -65.0]]",0.0,40.0,77,27,1070,[9],[9],1,True,0.0,0.0,4.39310627188205,1.6901662633975787,step_08_e11_horizontal_-4.333.png
9,e11_horizontal_-4.333,3,"[0.0, 1.0]","[158.44444444444446, -65.0]","[158.44444444444446, -65.0]","[55.77777777777778, -105.0]","[55.77777777777778, -25.0]","[[158.44444444444446, -65.0], [158.44444444444446, -105.0], [55.77777777777778, -105.0], [55.77777777777778, -25.0]]",0.0,80.0,96,54,1220,[3],[3],1,True,0.0,0.0,4.39310627188205,1.4494255226568382,step_09_e11_horizontal_-4.333.png
10,e11_horizontal_-4.333,1,"[0.0, 1.0]","[55.77777777777778, -25.0]","[55.77777777777778, -25.0]","[25.0, -105.0]","[25.0, -65.0]","[[55.77777777777778, -25.0], [25.0, -25.0], [25.0, -105.0], [25.0, -65.0]]",0.0,40.0,74,27,1321,[1],[1],1,True,0.0,0.0,4.333333333333336,0.7222222222222231,step_10_e11_horizontal_-4.333.png
11,e11_horizontal_-4.333,5,"[0.0, 1.0]","[25.0, -65.0]","[25.0, -65.0]","[90.0, -105.0]","[90.0, -65.0]","[[25.0, -65.0], [25.0, -105.0], [90.0, -105.0], [90.0, -65.0]]",0.0,40.0,70,27,1418,[5],[5],1,True,0.0,0.0,3.552713678800501e-15,4.461310957770253e-16,step_11_e11_horizontal_-4.333.png
