step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_oblique_-42.776,4,"[1.0, 0.0]","[-50.0, -130.0]","[-50.0, -130.0]","[-50.0, -47.21875]","[-5.34765625, -47.21875]","[[-50.0, -130.0], [-50.0, -47.21875], [-5.34765625, -47.21875]]",0.0,44.65234375,56,30,86,[0],"[0, 4, 8, 12]",1,True,0.0,0.0,45.869550084996476,25.340856961193378,step_00_e00_oblique_-42.776.png
1,e04_vertical_-116.688,8,"[1.0, 0.0]","[-5.34765625, -47.21875]","[-5.34765625, -47.21875]","[88.875, -47.21875]","[90.0, -47.21875]","[[-5.34765625, -47.21875], [-5.34765625, -120.0], [88.875, -120.0], [88.875, -47.21875], [90.0, -47.21875]]",0.0,1.125,160,1,247,[4],"[4, 8, 12]",1,True,0.0,0.0,45.869550084996476,24.030947682789936,step_01_e04_vertical_-116.688.png
2,e08_vertical_-188.875,12,"[1.0, 0.0]","[90.0, -47.21875]","[90.0, -47.21875]","[161.0625, -47.21875]","[190.0, -47.21875]","[[90.0, -47.21875], [90.0, -120.0], [161.0625, -120.0], [161.0625, -47.21875], [190.0, -47.21875]]",0.0,28.9375,145,20,412,[8],"[8, 12]",1,True,0.0,0.0,45.869550084996476,23.313213057399736,step_02_e08_vertical_-188.875.png
3,e08_vertical_-188.875,2,"[-1.0, 0.0]","[190.0, -47.21875]","[190.0, -47.21875]","[158.9375, -47.21875]","[130.0, -47.21875]","[[190.0, -47.21875], [158.9375, -47.21875], [130.0, -47.21875]]",0.0,28.9375,21,20,453,[6],"[2, 6, 10, 14]",1,True,0.0,0.0,45.869550084996476,22.59547843200953,step_03_e08_vertical_-188.875.png
4,e14_vertical_275.500,14,"[-1.0, 0.0]","[130.0, -47.21875]","[130.0, -47.21875]","[360.0, -40.0]","[330.0, -40.0]","[[130.0, -47.21875], [130.0, -120.0], [360.0, -120.0], [360.0, -40.0], [330.0, -40.0]]",0.0,30.0,256,20,729,[14],"[2, 10, 14]",1,True,0.0,0.0,40.49561125912288,18.25240967138497,step_04_e14_vertical_275.500.png
5,e15_horizontal_-11.125,12,"[0.0, -1.0]","[330.0, -40.0]","[330.0, -40.0]","[161.0625, 40.0]","[161.0625, 10.0]","[[330.0, -40.0], [330.0, 40.0], [161.0625, 40.0], [161.0625, 10.0]]",0.0,30.0,166,20,915,[15],[15],1,True,0.0,0.0,40.49561125912288,16.85637359755824,step_05_e15_horizontal_-11.125.png
6,e15_horizontal_-11.125,10,"[0.0, 1.0]","[161.0625, 10.0]","[161.0625, 10.0]","[303.3125, -120.0]","[303.3125, -90.0]","[[161.0625, 10.0], [360.0, 10.0], [360.0, -120.0], [303.3125, -120.0], [303.3125, -90.0]]",0.0,30.0,258,20,1193,[13],"[1, 3, 9, 11, 13]",1,True,0.0,0.0,40.49561125912287,16.063679143863062,step_06_e15_horizontal_-11.125.png
7,e15_horizontal_-11.125,11,"[0.0, 1.0]","[303.3125, -90.0]","[303.3125, -90.0]","[232.1875, -120.0]","[232.1875, -30.0]","[[303.3125, -90.0], [232.1875, -90.0], [232.1875, -120.0], [232.1875, -30.0]]",0.0,90.0,68,60,1321,[11],"[1, 3, 9, 11]",1,True,0.0,0.0,40.49561125912287,15.982555132101293,step_07_e15_horizontal_-11.125.png
8,e15_horizontal_-11.125,10,"[1.0, 0.0]","[232.1875, -30.0]","[232.1875, -30.0]","[232.1875, -30.0]","[290.0, -30.0]","[[232.1875, -30.0], [290.0, -30.0]]",0.0,57.8125,0,39,1360,[12],[12],1,True,0.0,0.0,40.49561125912287,11.115367632101293,step_08_e15_horizontal_-11.125.png
9,e15_horizontal_-11.125,10,"[-1.0, 0.0]","[290.0, -30.0]","[290.0, -30.0]","[290.0, -30.0]","[230.0, -30.0]","[[290.0, -30.0], [230.0, -30.0]]",0.0,60.0,0,40,1400,[10],"[2, 10]",1,True,0.0,0.0,40.49561125912287,9.514218946490764,step_09_e15_horizontal_-11.125.png
