step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_vertical_-44.500,4,"[1.0, 0.0]","[-50.0, -130.0]","[-50.0, -130.0]","[-50.0, -47.21875]","[-10.0, -47.21875]","[[-50.0, -130.0], [-50.0, -47.21875], [-10.0, -47.21875]]",0.0,40.0,56,27,83,[0],"[0, 4, 8, 12]",1,True,0.0,0.0,45.869550084996476,25.330034813539918,step_00_e00_vertical_-44.500.png
1,e15_horizontal_-11.125,15,"[0.0, -1.0]","[-10.0, -47.21875]","[-10.0, -47.21875]","[160.0, 40.0]","[160.0, 10.0]","[[-10.0, -47.21875], [-10.0, 40.0], [160.0, 40.0], [160.0, 10.0]]",0.0,30.0,172,20,275,[15],[15],1,True,0.0,0.0,45.869550084996476,24.549125433227637,step_01_e15_horizontal_-11.125.png
2,e15_horizontal_-11.125,14,"[-1.0, 0.0]","[160.0, 10.0]","[160.0, 10.0]","[360.0, -40.0]","[330.0, -40.0]","[[160.0, 10.0], [360.0, 10.0], [360.0, -40.0], [330.0, -40.0]]",0.0,30.0,167,20,462,[14],"[2, 6, 10, 14]",1,True,0.0,0.0,40.49561125912288,19.59634105291536,step_02_e15_horizontal_-11.125.png
3,e15_horizontal_-11.125,6,"[-1.0, 0.0]","[330.0, -40.0]","[330.0, -40.0]","[231.125, -47.21875]","[230.0, -47.21875]","[[330.0, -40.0], [330.0, -120.0], [231.125, -120.0], [231.125, -47.21875], [230.0, -47.21875]]",0.0,1.125,168,1,631,[10],"[2, 6, 10]",1,True,0.0,0.0,40.49561125912288,18.286431774511918,step_03_e15_horizontal_-11.125.png
4,e15_horizontal_-11.125,2,"[-1.0, 0.0]","[230.0, -47.21875]","[230.0, -47.21875]","[158.9375, -47.21875]","[130.0, -47.21875]","[[230.0, -47.21875], [230.0, -120.0], [158.9375, -120.0], [158.9375, -47.21875], [130.0, -47.21875]]",0.0,28.9375,145,20,796,[6],"[2, 6]",1,True,0.0,0.0,40.49561125912288,17.568697149121718,step_04_e15_horizontal_-11.125.png
5,e15_horizontal_-11.125,12,"[1.0, 0.0]","[130.0, -47.21875]","[130.0, -47.21875]","[161.0625, -47.21875]","[190.0, -47.21875]","[[130.0, -47.21875], [161.0625, -47.21875], [190.0, -47.21875]]",0.0,28.9375,21,20,837,[8],"[4, 8, 12]",1,True,0.0,0.0,40.49561125912288,16.85096252373151,step_05_e15_horizontal_-11.125.png
6,e15_horizontal_-11.125,8,"[0.0, 1.0]","[190.0, -47.21875]","[190.0, -47.21875]","[100.0, -120.0]","[100.0, -90.0]","[[190.0, -47.21875], [190.0, -120.0], [100.0, -120.0], [100.0, -90.0]]",0.0,30.0,109,20,966,[5],"[1, 3, 5, 11, 13]",1,True,0.0,0.0,71.52712007518546,21.65605756602792,step_06_e15_horizontal_-11.125.png
7,e15_horizontal_-11.125,2,"[-1.0, 0.0]","[100.0, -90.0]","[100.0, -90.0]","[100.0, -90.0]","[30.0, -90.0]","[[100.0, -90.0], [30.0, -90.0]]",0.0,70.0,0,47,1013,[2],[2],1,True,0.0,0.0,62.277384789745305,19.099949357633648,step_07_e15_horizontal_-11.125.png
8,e15_horizontal_-11.125,4,"[1.0, 0.0]","[30.0, -90.0]","[30.0, -90.0]","[30.0, -90.0]","[90.0, -90.0]","[[30.0, -90.0], [90.0, -90.0]]",0.0,60.0,0,40,1053,[4],"[4, 12]",1,True,0.0,0.0,60.0,18.399432872664036,step_08_e15_horizontal_-11.125.png
9,e15_horizontal_-11.125,13,"[0.0, 1.0]","[90.0, -90.0]","[90.0, -90.0]","[290.0, -120.0]","[290.0, -90.0]","[[90.0, -90.0], [90.0, -120.0], [290.0, -120.0], [290.0, -90.0]]",0.0,30.0,154,20,1227,[13],"[11, 13]",1,True,0.0,0.0,60.0,17.606738418968856,step_09_e15_horizontal_-11.125.png
10,e15_horizontal_-11.125,10,"[1.0, 0.0]","[290.0, -90.0]","[290.0, -90.0]","[290.0, -47.21875]","[290.0, -47.21875]","[[290.0, -90.0], [290.0, -47.21875]]",0.0,0.0,0,29,1256,[12],[12],1,True,0.0,0.0,60.0,13.0625,step_10_e15_horizontal_-11.125.png
11,e15_horizontal_-11.125,5,"[0.0, 1.0]","[290.0, -47.21875]","[290.0, -47.21875]","[290.0, -47.21875]","[290.0, -30.0]","[[290.0, -47.21875], [290.0, -30.0]]",0.0,17.21875,0,12,1268,[11],[11],1,True,0.0,0.0,60.0,12.3671875,step_11_e15_horizontal_-11.125.png
12,e15_horizontal_-11.125,6,"[0.0, 1.0]","[290.0, -30.0]","[290.0, -30.0]","[220.0, -120.0]","[220.0, -90.0]","[[290.0, -30.0], [290.0, -120.0], [220.0, -120.0], [220.0, -90.0]]",0.0,30.0,107,20,1395,[9],[9],1,True,0.0,0.0,60.0,10.9765625,step_12_e15_horizontal_-11.125.png
13,e15_horizontal_-11.125,15,"[0.0, 1.0]","[220.0, -90.0]","[220.0, -90.0]","[160.0, -90.0]","[160.0, -30.0]","[[220.0, -90.0], [160.0, -90.0], [160.0, -30.0]]",0.0,60.0,40,40,1475,[7],[7],1,True,0.0,0.0,60.0,10.28125,step_13_e15_horizontal_-11.125.png
