step,group_key,target_edge,action,move_start,start,probe_start,contact_ref,trajectory_points,continuity_gap,distance,transit_steps,approach_steps,total_steps,true_edges,candidate_edges,hypothesis_count,contact_pair_converged,overlap_area,max_path_overlap_area,max_vertex_error,mean_vertex_error,figure
0,e00_vertical_-44.500,0,"[1.0, 0.0]","[-50.0, -130.0]","[-50.0, -130.0]","[-40.0, -40.0]","[-10.0, -40.0]","[[-50.0, -130.0], [-40.0, -130.0], [-40.0, -40.0], [-10.0, -40.0]]",0.0,30.0,67,20,87,[0],"[0, 4, 8, 12]",2,False,0.0,0.0,208.80613014947622,124.55117883412957,step_00_e00_vertical_-44.500.png
1,e15_horizontal_-11.125,15,"[0.0, -1.0]","[-10.0, -40.0]","[-10.0, -40.0]","[160.0, 40.0]","[160.0, 10.0]","[[-10.0, -40.0], [-10.0, 40.0], [160.0, 40.0], [160.0, 10.0]]",0.0,30.0,167,20,274,[15],[15],2,False,0.0,0.0,208.80613014947622,119.45262008118172,step_01_e15_horizontal_-11.125.png
2,e15_horizontal_-11.125,0,"[-1.0, 0.0]","[160.0, 10.0]","[160.0, 10.0]","[360.0, -40.0]","[330.0, -40.0]","[[160.0, 10.0], [360.0, 10.0], [360.0, -40.0], [330.0, -40.0]]",0.0,30.0,167,20,461,[14],"[2, 6, 10, 14]",4,False,0.0,0.0,145.60219778561037,71.52011817762849,step_02_e15_horizontal_-11.125.png
3,e15_horizontal_-11.125,6,"[-1.0, 0.0]","[330.0, -40.0]","[330.0, -40.0]","[231.125, -47.21875]","[230.0, -47.21875]","[[330.0, -40.0], [330.0, -120.0], [231.125, -120.0], [231.125, -47.21875], [230.0, -47.21875]]",0.0,1.125,168,1,630,[10],"[2, 6, 10, 14]",7,False,0.0,0.0,67.4309926926054,46.968563188309886,step_03_e15_horizontal_-11.125.png
4,e15_horizontal_-11.125,12,"[1.0, 0.0]","[230.0, -47.21875]","[230.0, -47.21875]","[161.0625, -47.21875]","[190.0, -47.21875]","[[230.0, -47.21875], [230.0, -120.0], [161.0625, -120.0], [161.0625, -47.21875], [190.0, -47.21875]]",0.0,28.9375,143,20,793,[8],"[0, 4, 8, 12]",4,False,0.0,0.0,64.9999999076923,38.469393543545834,step_04_e15_horizontal_-11.125.png
5,e15_horizontal_-11.125,6,"[0.0, 1.0]","[190.0, -47.21875]","[190.0, -47.21875]","[190.0, -47.21875]","[190.0, -30.0]","[[190.0, -47.21875], [190.0, -30.0]]",0.0,17.21875,0,12,805,[7],"[1, 3, 5, 7, 9, 11, 13]",4,False,0.0,0.0,64.9999999076923,32.64900775828272,step_05_e15_horizontal_-11.125.png
6,e15_horizontal_-11.125,11,"[0.0, 1.0]","[190.0, -30.0]","[190.0, -30.0]","[232.1875, -120.0]","[232.1875, -30.0]","[[190.0, -30.0], [190.0, -120.0], [232.1875, -120.0], [232.1875, -30.0]]",0.0,90.0,89,60,954,[11],"[1, 3, 5, 7, 9, 11, 13]",4,False,0.0,0.0,55.90169939277338,33.176070650375806,step_06_e15_horizontal_-11.125.png
7,e15_horizontal_-11.125,8,"[1.0, 0.0]","[232.1875, -30.0]","[232.1875, -30.0]","[88.875, -47.21875]","[90.0, -47.21875]","[[232.1875, -30.0], [232.1875, -120.0], [88.875, -120.0], [88.875, -47.21875], [90.0, -47.21875]]",0.0,1.125,205,1,1160,[4],"[0, 4, 8, 12]",1,True,0.0,0.0,72.11102550927978,30.756939069329988,step_07_e15_horizontal_-11.125.png
8,e15_horizontal_-11.125,0,"[-1.0, 0.0]","[90.0, -47.21875]","[90.0, -47.21875]","[90.0, -47.21875]","[30.0, -47.21875]","[[90.0, -47.21875], [30.0, -47.21875]]",0.0,60.0,0,40,1200,[2],"[2, 6]",1,True,0.0,0.0,72.11102550927978,30.756939069329988,step_08_e15_horizontal_-11.125.png
9,e15_horizontal_-11.125,2,"[0.0, 1.0]","[30.0, -47.21875]","[30.0, -47.21875]","[120.0, -120.0]","[120.0, -90.0]","[[30.0, -47.21875], [30.0, -120.0], [120.0, -120.0], [120.0, -90.0]]",0.0,30.0,109,20,1329,[5],"[5, 13]",1,True,0.0,0.0,72.11102550927978,25.756939069329988,step_09_e15_horizontal_-11.125.png
10,e15_horizontal_-11.125,13,"[0.0, 1.0]","[120.0, -90.0]","[120.0, -90.0]","[290.0, -120.0]","[290.0, -90.0]","[[120.0, -90.0], [120.0, -120.0], [290.0, -120.0], [290.0, -90.0]]",0.0,30.0,134,20,1483,[13],"[5, 13]",1,True,0.0,0.0,60.0,22.499999975,step_10_e15_horizontal_-11.125.png
11,e15_horizontal_-11.125,10,"[1.0, 0.0]","[290.0, -90.0]","[290.0, -90.0]","[290.0, -47.21875]","[290.0, -47.21875]","[[290.0, -90.0], [290.0, -47.21875]]",0.0,0.0,0,29,1512,[12],[12],1,True,0.0,0.0,59.9999999,14.999999975000001,step_11_e15_horizontal_-11.125.png
12,e15_horizontal_-11.125,3,"[0.0, 1.0]","[290.0, -47.21875]","[290.0, -47.21875]","[87.8125, -120.0]","[87.8125, -30.0]","[[290.0, -47.21875], [290.0, -120.0], [87.8125, -120.0], [87.8125, -30.0]]",0.0,90.0,184,60,1756,[3],"[3, 7]",1,True,0.0,0.0,40.0,10.0,step_12_e15_horizontal_-11.125.png
13,e15_horizontal_-11.125,1,"[0.0, 1.0]","[87.8125, -30.0]","[87.8125, -30.0]","[30.0, -120.0]","[30.0, -90.0]","[[87.8125, -30.0], [30.0, -30.0], [30.0, -120.0], [30.0, -90.0]]",0.0,30.0,99,20,1875,[1],"[1, 5]",1,True,0.0,0.0,40.0,5.0,step_13_e15_horizontal_-11.125.png
14,e15_horizontal_-11.125,9,"[0.0, 1.0]","[30.0, -90.0]","[30.0, -90.0]","[196.09375, -120.0]","[196.09375, -90.0]","[[30.0, -90.0], [30.0, -120.0], [196.09375, -120.0], [196.09375, -90.0]]",0.0,30.0,131,20,2026,[9],"[5, 9]",2,False,0.0,0.0,20.0,2.5,step_14_e15_horizontal_-11.125.png
15,e15_horizontal_-11.125,0,"[-1.0, 0.0]","[196.09375, -90.0]","[196.09375, -90.0]","[196.09375, -90.0]","[130.0, -90.0]","[[196.09375, -90.0], [130.0, -90.0]]",0.0,66.09375,0,45,2071,[6],[6],1,True,0.0,0.0,0.0,0.0,step_15_e15_horizontal_-11.125.png
